id,first_name,last_name,postal_code,state
916,Betty,Riley,98405,
917,Linda,James,73124,
918,Paula,Duncan,53225,
919,Catherine,Foster,90101,
920,Lisa,Morgan,75277,
921,Catherine,Lawson,21747,
922,Adam,Gutierrez,57188,
923,Andrea,Banks,23293,
924,Julia,Gutierrez,30358,
925,Jose,Austin,88569,
926,Roy,Owens,96815,
927,Julia,Murray,93726,
928,Jason,Clark,45213,
929,Bonnie,Gonzales,87110,
930,Jason,Sanchez,79994,
931,Anne,Gardner,20918,
932,Melissa,Campbell,28815,
933,Lois,West,64179,
934,Debra,Wood,84140,
935,Ronald,Spencer,43204,
936,Richard,George,95118,
937,Judith,Mcdonald,88589,
938,Rose,Castillo,1105,
939,Frances,Riley,89036,
940,Donna,Butler,33018,
941,Lois,Jackson,40225,
942,Christine,Ferguson,64101,
943,Helen,Sims,19146,
944,Sara,Hamilton,31422,
945,Stephanie,Moreno,36104,
946,Antonio,George,16107,
947,Randy,Wallace,49048,
948,Denise,Hansen,86305,
949,Phyllis,Palmer,92424,
950,Christopher,Wheeler,10105,
951,Mildred,Parker,34238,
952,Jeremy,Fisher,6510,
953,Patrick,Hudson,70836,
954,Henry,Martin,33147,
955,Denise,Howell,90081,
956,Ernest,Martin,57110,
957,Dorothy,Bishop,19184,
958,James,Fuller,48670,
959,Jane,Elliott,43699,
960,Julia,Williams,33742,
961,Edward,Garrett,46814,
962,Evelyn,Sullivan,78245,
963,Jerry,Franklin,33731,
964,Albert,Walker,75205,
965,Marilyn,Warren,34276,
966,Kenneth,Banks,98185,
967,Donald,Russell,77201,
968,Albert,Lawson,70124,
969,Howard,Oliver,35231,
970,Teresa,Jones,77065,
971,Walter,Young,96815,
972,Louis,Garrett,7505,
973,Anne,Marshall,89130,
974,Mark,Hunt,94230,
975,Judith,Price,79968,
976,Henry,Rogers,55166,
977,Paul,Peters,16565,
978,Terry,Jenkins,80228,
979,Donald,Bradley,95138,
980,Robin,Franklin,90081,
981,Janet,Wells,33686,
982,Janet,Allen,93305,
983,Kathy,Fisher,88569,
984,Lori,Bowman,23213,
985,Albert,Reyes,60435,
986,Beverly,Perkins,91797,
987,Marilyn,Mitchell,30343,
988,Jonathan,Daniels,85255,
989,Melissa,Franklin,57110,
990,Bobby,Parker,77806,
991,William,Stephens,71914,
992,Karen,Alvarez,47805,
993,Alan,Hudson,20010,
994,Frank,Spencer,80204,
995,Jason,Russell,70820,
996,Marilyn,Jacobs,77206,
997,Tammy,Rice,13205,
998,John,Fisher,45218,
999,Juan,Graham,75310,
1000,Martin,Cruz,17622,
